os,version,position_url,position,download_position,download_url
win,67.0.3396.79,https://omahaproxy.appspot.com/deps.json?version=67.0.3396.79,550428,550430,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F550430%2Fchrome-win32-syms.zip?generation=1523580597657440&alt=media
win,70.0.3538.77,https://omahaproxy.appspot.com/deps.json?version=70.0.3538.77,587811,587814,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F587814%2Fchrome-win32-syms.zip?generation=1535670396844983&alt=media
win,67.0.3396.62,https://omahaproxy.appspot.com/deps.json?version=67.0.3396.62,550428,550430,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F550430%2Fchrome-win32-syms.zip?generation=1523580597657440&alt=media
win,67.0.3396.87,https://omahaproxy.appspot.com/deps.json?version=67.0.3396.87,550428,550430,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F550430%2Fchrome-win32-syms.zip?generation=1523580597657440&alt=media
win,66.0.3359.117,https://omahaproxy.appspot.com/deps.json?version=66.0.3359.117,540276,540272,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F540272%2Fchrome-win32-syms.zip?generation=1519938521494190&alt=media
win,67.0.3396.99,https://omahaproxy.appspot.com/deps.json?version=67.0.3396.99,550428,550430,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F550430%2Fchrome-win32-syms.zip?generation=1523580597657440&alt=media
win,64.0.3282.167,https://omahaproxy.appspot.com/deps.json?version=64.0.3282.167,520840,520840,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F520840%2Fchrome-win32-syms.zip?generation=1512101273457265&alt=media
win,64.0.3282.140,https://omahaproxy.appspot.com/deps.json?version=64.0.3282.140,520840,520840,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F520840%2Fchrome-win32-syms.zip?generation=1512101273457265&alt=media
win,64.0.3282.186,https://omahaproxy.appspot.com/deps.json?version=64.0.3282.186,520840,520840,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F520840%2Fchrome-win32-syms.zip?generation=1512101273457265&alt=media
win,64.0.3282.119,https://omahaproxy.appspot.com/deps.json?version=64.0.3282.119,520840,520840,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F520840%2Fchrome-win32-syms.zip?generation=1512101273457265&alt=media
win,63.0.3239.108,https://omahaproxy.appspot.com/deps.json?version=63.0.3239.108,508578,508578,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F508578%2Fchrome-win32-syms.zip?generation=1507859673868641&alt=media
win,63.0.3239.132,https://omahaproxy.appspot.com/deps.json?version=63.0.3239.132,508578,508578,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F508578%2Fchrome-win32-syms.zip?generation=1507859673868641&alt=media
win,65.0.3325.162,https://omahaproxy.appspot.com/deps.json?version=65.0.3325.162,530369,530366,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F530366%2Fchrome-win32-syms.zip?generation=1516324075931592&alt=media
win,69.0.3497.100,https://omahaproxy.appspot.com/deps.json?version=69.0.3497.100,576753,576753,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F576753%2Fchrome-win32-syms.zip?generation=1532052869305049&alt=media
win,66.0.3359.139,https://omahaproxy.appspot.com/deps.json?version=66.0.3359.139,540276,540272,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F540272%2Fchrome-win32-syms.zip?generation=1519938521494190&alt=media
win,61.0.3163.79,https://omahaproxy.appspot.com/deps.json?version=61.0.3163.79,488528,488536,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F488536%2Fchrome-win32-syms.zip?generation=1500602196245207&alt=media
win,62.0.3202.94,https://omahaproxy.appspot.com/deps.json?version=62.0.3202.94,499098,499101,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F499101%2Fchrome-win32-syms.zip?generation=1504230963384544&alt=media
win,62.0.3202.89,https://omahaproxy.appspot.com/deps.json?version=62.0.3202.89,499098,499101,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F499101%2Fchrome-win32-syms.zip?generation=1504230963384544&alt=media
win,62.0.3202.75,https://omahaproxy.appspot.com/deps.json?version=62.0.3202.75,499098,499101,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F499101%2Fchrome-win32-syms.zip?generation=1504230963384544&alt=media
win,62.0.3202.62,https://omahaproxy.appspot.com/deps.json?version=62.0.3202.62,499098,499101,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F499101%2Fchrome-win32-syms.zip?generation=1504230963384544&alt=media
win,60.0.3112.113,https://omahaproxy.appspot.com/deps.json?version=60.0.3112.113,474897,474898,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F474898%2Fchrome-win32-syms.zip?generation=1495771158314285&alt=media
win,61.0.3163.91,https://omahaproxy.appspot.com/deps.json?version=61.0.3163.91,488528,488536,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F488536%2Fchrome-win32-syms.zip?generation=1500602196245207&alt=media
win,60.0.3112.101,https://omahaproxy.appspot.com/deps.json?version=60.0.3112.101,474897,474898,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F474898%2Fchrome-win32-syms.zip?generation=1495771158314285&alt=media
win,61.0.3163.100,https://omahaproxy.appspot.com/deps.json?version=61.0.3163.100,488528,488536,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F488536%2Fchrome-win32-syms.zip?generation=1500602196245207&alt=media
win,60.0.3112.78,https://omahaproxy.appspot.com/deps.json?version=60.0.3112.78,474897,474898,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F474898%2Fchrome-win32-syms.zip?generation=1495771158314285&alt=media
win,63.0.3239.84,https://omahaproxy.appspot.com/deps.json?version=63.0.3239.84,508578,508578,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F508578%2Fchrome-win32-syms.zip?generation=1507859673868641&alt=media
win,59.0.3071.115,https://omahaproxy.appspot.com/deps.json?version=59.0.3071.115,464641,464638,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F464638%2Fchrome-win32-syms.zip?generation=1492133587132945&alt=media
win,60.0.3112.90,https://omahaproxy.appspot.com/deps.json?version=60.0.3112.90,474897,474898,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F474898%2Fchrome-win32-syms.zip?generation=1495771158314285&alt=media
win,64.0.3282.168,https://omahaproxy.appspot.com/deps.json?version=64.0.3282.168,520840,520840,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F520840%2Fchrome-win32-syms.zip?generation=1512101273457265&alt=media
win,65.0.3325.146,https://omahaproxy.appspot.com/deps.json?version=65.0.3325.146,530369,530366,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F530366%2Fchrome-win32-syms.zip?generation=1516324075931592&alt=media
win,59.0.3071.86,https://omahaproxy.appspot.com/deps.json?version=59.0.3071.86,464641,464638,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F464638%2Fchrome-win32-syms.zip?generation=1492133587132945&alt=media
win,58.0.3029.110,https://omahaproxy.appspot.com/deps.json?version=58.0.3029.110,454471,454475,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F454475%2Fchrome-win32-syms.zip?generation=1488510756926832&alt=media
win,59.0.3071.109,https://omahaproxy.appspot.com/deps.json?version=59.0.3071.109,464641,464638,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F464638%2Fchrome-win32-syms.zip?generation=1492133587132945&alt=media
win,58.0.3029.96,https://omahaproxy.appspot.com/deps.json?version=58.0.3029.96,454471,454475,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F454475%2Fchrome-win32-syms.zip?generation=1488510756926832&alt=media
win,58.0.3029.81,https://omahaproxy.appspot.com/deps.json?version=58.0.3029.81,454471,454475,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F454475%2Fchrome-win32-syms.zip?generation=1488510756926832&alt=media
win,57.0.2987.110,https://omahaproxy.appspot.com/deps.json?version=57.0.2987.110,444943,444943,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F444943%2Fchrome-win32-syms.zip?generation=1484879834115743&alt=media
win,57.0.2987.98,https://omahaproxy.appspot.com/deps.json?version=57.0.2987.98,444943,444943,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F444943%2Fchrome-win32-syms.zip?generation=1484879834115743&alt=media
